id,KG name,Sparql endpoint,SPARQL endpoint URL,License machine redeable (metadata),Description,Dataset URL,Author (metadata),Sources,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
wordnet-rdf,WordNet-RDF,-,,FALSE,RDF version of WordNet from Princeton,absent,FALSE,Web:absent Name:Christiane Fellbaum Email:fellbaum@princeton.edu,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
omwn-iwn,ItalWordnet WordNet (as part of Open Multilingual WordNet),-,http://omwn.linguistic-lod.org/sparql/,https://opendatacommons.org/licenses/by/1-0/,"The ItalWordnet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data, (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used, modified, and shared by anyone for any purpose.",http://compling.hss.ntu.edu.sg/omw/,"Name: absent, email: john.mccrae@insight-centre.org",Web:http://compling.hss.ntu.edu.sg/omw/ Name:Francis Bond Email:bond@ieee.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
gemeenschappelijke-thesaurus-audiovisuele-archieven,Gemeenschappelijke Thesaurus Audiovisuele Archieven ? Common Thesaurus Audiovisual Archives,-,,http://www.opendefinition.org/licenses/odc-odbl,"The Netherlands Institute for Sound and Vision
<http://portal.beeldengeluid.nl/> is the Dutch archive for public broadcast television. They employ the GTAA, which is a Dutch acronym for Common Thesaurus [for] Audiovisual Archives, to index and disclose their
audiovisaul documents.

The GTAA closely follows the ISO-2788 standard for
thesaurus structures. The thesaurus consists of several facets for describing TV programs: subjects; people mentioned; named entities (Corporation names, music bands etc); locations; genres; makers and presentators.

The GTAA contains approximately 160.000 terms: ~3800 Subjects, ~97.000 Persons, ~27.000 Names, ~14.000 Locations, 113 Genres and ~18.000 Makers, and is continually updated as new concepts emerge on TV.",http://data.beeldengeluid.nl/gtaa/GTAA,FALSE,Web:http://data.beeldengeluid.nl/gtaa/GTAA Name:Johan Oomen Email:joomen@beeldengeluid.nl,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
universal-dependencies-treebank-japanese,Universal Dependencies Treebank Japanese,-,,http://creativecommons.org/licenses/by-nc/2.0/,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Japanese treebank.",https://github.com/UniversalDependencies/UD_Japanese,FALSE,"Web:https://github.com/UniversalDependencies/UD_Japanese Name:McDonald, Ryan; Nivre, Joakim; Zeman, Daniel Email:zeman@ufal.mff.cuni.cz",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
clld-wals,CLLD-WALS,-,,http://www.opendefinition.org/licenses/cc-by,WALS Online published by the CLLD project,http://wals.info,FALSE,Web:http://wals.info Name: Email:,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
lexvo,Lexvo,-,,http://www.opendefinition.org/licenses/cc-by,"### About

Data exposed: Linguistic Data
Size of dump and data set: ~40MB

### Openness

Download dump: CC-BY-SA 3.0 license

The web service additionally provides some parts that are not fully open, e.g. English language names taken from the Ethnologue Language Codes database are subject to specific redistribution conditions.",http://www.lexvo.org,FALSE,Web:http://www.lexvo.org Name:Gerard de Melo Email:demelo@mpi-inf.de,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
omwn-jpn,Japanese WordNet (as part of Open Multilingual WordNet),-,http://omwn.linguistic-lod.org/sparql/,https://wordnet.princeton.edu/license-and-commercial-use,"The Japanese wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data, (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used, modified, and shared by anyone for any purpose.",http://compling.hss.ntu.edu.sg/omw/,"Name: absent, email: john.mccrae@insight-centre.org",Web:http://compling.hss.ntu.edu.sg/omw/ Name:Francis Bond Email:bond@ieee.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
universal-dependencies-treebank-czech,Universal Dependencies Treebank Czech,-,,http://creativecommons.org/licenses/by-nc/2.0/,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Czech treebank.",https://github.com/UniversalDependencies/UD_Czech,FALSE,"Web:https://github.com/UniversalDependencies/UD_Czech Name:Zeman, Daniel; Hajič, Jan Email:zeman@ufal.mff.cuni.cz",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
universal-dependencies-treebank-bulgarian,Universal Dependencies Treebank Bulgarian,-,,http://creativecommons.org/licenses/by-nc/2.0/,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Bulgarian treebank.",https://github.com/UniversalDependencies/UD_Bulgarian,FALSE,"Web:https://github.com/UniversalDependencies/UD_Bulgarian Name:Simov, Kiril; Osenova, Petya Email:kivs@bultreebank.org, petya@bultreebank.org",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
clld-afbo,CLLD-afbo,-,,http://www.opendefinition.org/licenses/cc-by-sa,AfBo: A world-wide survey of affix borrowing published by the CLLD project,http://afbo.info,FALSE,Web:http://afbo.info Name:None Email:None,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
clld-glottolog,CLLD-GLOTTOLOG,-,,FALSE,Glottolog 2.7 published by the CLLD project,http://glottolog.org,FALSE,Web:http://glottolog.org Name:None Email:None,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
gold,General Ontology of Linguistic Description,-,,http://www.opendefinition.org/licenses/cc-by-sa,GOLD is an ontology for descriptive linguistics.,absent,FALSE,Web:absent Name: Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,0,0,1,0.5,0,1,0,1,0.5,2.53
xwn,Open Multilingual Wordnet,-,,FALSE,"Documentation of and links to data for wordnets in 20 languages (Albanian, Arabic, Danish, English, Persian, Finnish, French, Hebrew, Italian, Japanese, Basque, Catalan, Galician, Spanish, Indonesian, Malaysian, Norwegian (Bokmal and Nynorsk), Portuguese, Thai).  Size, quality and license varies widely, but all licenses are open licenses that allow redistribution.

There is also an online search interface.",http://casta-net.jp/~kuribayashi/multi/,FALSE,Web:http://casta-net.jp/~kuribayashi/multi/ Name:Francis Bond Email:bond@ieee.org,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
universal-dependencies-treebank-spanish-ancora,Universal Dependencies Treebank Spanish-AnCora,-,,FALSE,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Spanish-AnCora treebank.",https://github.com/UniversalDependencies/UD_Spanish-AnCora,FALSE,"Web:https://github.com/UniversalDependencies/UD_Spanish-AnCora Name:Martínez Alonso, Héctor; Zeman, Daniel Email:zeman@ufal.mff.cuni.cz",1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
universal-dependencies-treebank-portuguese,Universal Dependencies Treebank Portuguese,-,,http://creativecommons.org/licenses/by-nc/2.0/,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Portuguese treebank.",https://github.com/UniversalDependencies/UD_Portuguese,FALSE,"Web:https://github.com/UniversalDependencies/UD_Portuguese Name:Zeman, Daniel; Popel, Martin; Mareček, David; Silveira, Natalia; Martins, André Email:zeman@ufal.mff.cuni.cz",1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
iwn,IWN,-,,http://www.opendefinition.org/licenses/odc-by,"This is the dataset corresponding to the ItalWordNet as created at the Institute of Computational Linguistic ""A. Zampolli"" in Pisa.
The resource contains single instances such as single synset and single word/wordsense and collective files to list all synsets and word(sense)s.

The resource has been created according to the WN2.0 specification, http://www.w3.org/2006/03/wn/wn20/",absent,FALSE,Web:absent Name:Roberto Bartolini Email:roberto.bartolini@ilc.cnr.it,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
simple,SIMPLE,-,,http://www.opendefinition.org/licenses/odc-by,"This dataset contains the conversion of the Italian SIMPLE lexicon in different formats including RDF, TTL and a Lemon version of lexical entries with their pointers to senses.",absent,FALSE,Web:absent Name:Riccardo Del Gratta Email:riccardo.delgratta@ilc.cnr.it,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
ietflang,ietflang,-,,http://www.opendefinition.org/licenses/cc-zero,"Mapping from IETF language tags (aka. RFC 4646 or BCP 47) to Lexvo, Glottolog, WALS, IDS and ontologi.es",absent,FALSE,Web:absent Name:John McCrae Email:john@mccr.ae,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
ids,Intercontinental Dictionary Series,-,http://mlode.nlp2rdf.org/sparql,http://www.opendefinition.org/licenses/cc-by-sa,1200 words in 200 languages,http://lingweb.eva.mpg.de/ids/,FALSE,Web:http://lingweb.eva.mpg.de/ids/ Name:Bernard Comrie Email:,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
EtymologicalDictionaryofLatin,Etymological Dictionary of Latin in LiLa,-,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"New etymological dictionary by Brill that covers the entire Latin lexicon of Indo-European origin. It consists of nearly 1900 entries, which altogether discuss about 8000 Latin lemmata. Only some information about P-I.E. and Proto-Italic roots is accessible via the LiLa Knowledge Base.",http://lila-erc.eu/data/lexicalResources/BrillEDL/Lexicon,"Name: absent, email: giovannimoretti@gmail.com",Web:http://lila-erc.eu/data/lexicalResources/BrillEDL/Lexicon Name:Marco Passarotti Email:marco.passarotti@unicatt.it,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
LemmaBank,LiLa Lemma Bank,-,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"The Lemma Bank is a collection of approximately 200,000 canonical forms for Latin that is used to interlink the linguistic resources in the LiLa Knowledge Base. The canonical forms are modeled using the Ontolex ontology.",http://lila-erc.eu/data/id/lemma/LemmaBank,"Name: absent, email: giovannimoretti@gmail.com",Web:http://lila-erc.eu/data/id/lemma/LemmaBank Name:Marco Passarotti Email:marco.passarotti@unicatt.it,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
universal-dependencies-treebank-irish,Universal Dependencies Treebank Irish,-,,http://www.opendefinition.org/licenses/cc-by-sa,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Irish treebank.",https://github.com/UniversalDependencies/UD_Irish,FALSE,"Web:https://github.com/UniversalDependencies/UD_Irish Name:Lynn, Teresa; Foster, Jennifer Email:",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
LatinWordnetLiLa,Latin WordNet Revision in LiLa,-,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,http://www.opendefinition.org/licenses/cc-by-sa,"Ongoing quality revision of Minozzi's Latin WordNet linked to the LiLa Knowledge Base, mapped to version 3.0 of the Princeton WordNet (as opposed to Minozzi's original mapping to version 1.6). The latest release contains synsets for 1612 additional lemmas that were not included in the original selection performed by Minozzi.",http://lila-erc.eu/data/lexicalResources/LatinWordNet/Lexicon,"Name: absent, email: giovannimoretti@gmail.com",Web:http://lila-erc.eu/data/lexicalResources/LatinWordNet/Lexicon Name:Marco Passarotti Email:marco.passarotti@unicatt.it,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
universal-dependencies-treebank-czech-cltt,Universal Dependencies Treebank Czech-CLTT,-,,http://www.opendefinition.org/licenses/cc-by-sa,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Czech-CLTT treebank.",https://github.com/UniversalDependencies/UD_Czech-CLTT,FALSE,"Web:https://github.com/UniversalDependencies/UD_Czech-CLTT Name:Hladká, Barbora; Zeman, Daniel Email:zeman@ufal.mff.cuni.cz",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
universal-dependencies-treebank-hebrew,Universal Dependencies Treebank Hebrew,-,,http://creativecommons.org/licenses/by-nc/2.0/,"Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al., 2006, 2008, 2014), Google universal part-of-speech tags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets (Zeman, 2008).

This dataset refers to UD's Hebrew treebank.",https://github.com/UniversalDependencies/UD_Hebrew,FALSE,"Web:https://github.com/UniversalDependencies/UD_Hebrew Name:Goldberg, Yoav; Tsarfaty, Reut Email:",1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
omwn-fra,WOLF WordNet (as part of Open Multilingual WordNet),-,http://omwn.linguistic-lod.org/sparql/,http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html,"The WOLF wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data, (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used, modified, and shared by anyone for any purpose.",http://compling.hss.ntu.edu.sg/omw/,"Name: absent, email: john.mccrae@insight-centre.org",Web:http://compling.hss.ntu.edu.sg/omw/ Name:Francis Bond Email:bond@ieee.org,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
apertium-rdf-en-gl,Apertium RDF EN-GL,-,,FALSE,RDF version of the Apertium bilingual dictionary EN-GL. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17109 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,absent,FALSE,Web:absent Name:Universitat Pompeu Fabra. Institut Universitari de Lingüística Aplicada (IULA) ; Universitat Politècnica de Catalunya ; imaxin|software ; Universitat d'Alacant. Grup Transducens Email:,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
babelnet,BabelNet,offline,http://babelnet.org/sparql/,FALSE,"BabelNet is both a multilingual encyclopedic dictionary, with lexicographic and encyclopedic coverage of terms, and an ontology which connects concepts and named entities in a very large network of semantic relations, made up of 13,801,844 millions of nodes, called Babel synsets. Each Babel synset represents a given meaning and contains all the synonyms which in different languages express that meaning. The BabelNet resource is made available under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license. The different resources from which BabelNet originates are made available under different licenses, as follows: WordNet: http://wordnet.princeton.edu/wordnet/license/, Wikipedia: Creative Commons Attribution-ShareAlike 3.0 Unported license, Wiktionary: Creative Commons Attribution-ShareAlike 3.0 Unported license, OmegaWiki: Creative Commons Attribution 2.5 Generic license or higher, ItalWordNet: Open Data Commons Attribution 1.0 License, and Open Multilingual WordNet: different licenses according to the language, as indicated at http://compling.hss.ntu.edu.sg/omw/. When applicable, specific license rights are specified through the property dcterms:license. Please make sure of using data in compliance with their respective licenses.",absent,FALSE,Web:absent Name:Roberto Navigli Email:navigli@di.uniroma1.it,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
